iter	Passed	Remaining
0	122	366464
1	208	312748
2	296	295882
3	399	299486
4	491	294224
5	578	288499
6	665	284533
7	768	287604
8	873	290223
9	963	288224
10	1060	288096
11	1148	286011
12	1258	289177
13	1371	292564
14	1480	294650
15	1596	297779
16	1678	294588
17	1756	291040
18	1835	287962
19	1946	289982
20	2052	291138
21	2131	288497
22	2230	288668
23	2314	287021
24	2414	287310
25	2495	285468
26	2574	283519
27	2651	281406
28	2725	279192
29	2826	279792
30	2970	284497
31	3084	286048
32	3182	286174
33	3284	286518
34	3387	286970
35	3485	287010
36	3585	287134
37	3676	286578
38	3768	286107
39	3876	286830
40	3980	287286
41	4063	286168
42	4169	286740
43	4267	286720
44	4362	286467
45	4467	286881
46	4544	285509
47	4631	284812
48	4718	284197
49	4823	284561
50	4934	285327
51	5026	284940
52	5117	284571
53	5193	283354
54	5273	282385
55	5348	281180
56	5423	280024
57	5508	279426
58	5602	279261
59	5697	279160
60	5791	279047
61	5893	279268
62	5980	278804
63	6053	277723
64	6132	276926
65	6229	276950
66	6309	276222
67	6393	275652
68	6487	275569
69	6568	274952
70	6651	274387
71	6733	273832
72	6815	273275
73	6892	272514
74	6979	272213
75	7081	272461
76	7229	274440
77	7331	274648
78	7419	274347
79	7504	273919
80	7592	273604
81	7685	273490
82	7782	273516
83	7885	273737
84	7970	273344
85	8062	273171
86	8163	273343
87	8247	272902
88	8326	272327
89	8406	271809
90	8480	271105
91	8556	270472
92	8631	269794
93	8712	269360
94	8793	268893
95	8873	268417
96	8951	267904
97	9026	267305
98	9101	266709
99	9171	265976
100	9249	265482
101	9328	265044
102	9407	264593
103	9488	264209
104	9566	263749
105	9665	263887
106	9775	264302
107	9855	263918
108	9928	263340
109	10011	263017
110	10085	262502
111	10168	262205
112	10246	261785
113	10331	261555
114	10411	261187
115	10490	260811
116	10563	260291
117	10642	259937
118	10722	259586
119	10798	259173
120	10883	258947
121	10959	258525
122	11043	258321
123	11118	257881
124	11194	257481
125	11273	257147
126	11347	256706
127	11425	256366
128	11502	255986
129	11586	255785
130	11665	255485
131	11752	255345
132	11826	254942
133	11903	254602
134	11976	254168
135	12050	253767
136	12128	253457
137	12222	253481
138	12305	253277
139	12381	252945
140	12459	252626
141	12536	252311
142	12613	252000
143	12686	251618
144	12762	251287
145	12838	250969
146	12915	250672
147	12990	250321
148	13070	250087
149	13161	250069
150	13234	249702
151	13314	249468
152	13387	249107
153	13468	248903
154	13548	248676
155	13629	248480
156	13794	249791
157	13873	249551
158	13971	249645
159	14050	249394
160	14123	249044
161	14203	248826
162	14285	248631
163	14364	248403
164	14445	248200
165	14523	247941
166	14604	247752
167	14698	247782
168	14811	248110
169	14897	248005
170	14999	248147
171	15133	248827
172	15248	249184
173	15322	248859
174	15394	248518
175	15471	248242
176	15545	247943
177	15619	247623
178	15695	247354
179	15770	247064
180	15846	246805
181	15925	246587
182	16004	246363
183	16085	246181
184	16163	245953
185	16239	245686
186	16313	245406
187	16386	245099
188	16453	244712
189	16524	244395
190	16595	244066
191	16667	243762
192	16745	243540
193	16818	243262
194	16892	242988
195	16966	242728
196	17037	242418
197	17110	242144
198	17183	241860
199	17258	241616
200	17332	241358
201	17407	241114
202	17478	240826
203	17548	240518
204	17619	240228
205	17687	239894
206	17757	239600
207	17829	239324
208	17899	239028
209	17972	238777
210	18045	238526
211	18115	238238
212	18185	237953
213	18256	237674
214	18325	237376
215	18394	237083
216	18459	236742
217	18531	236490
218	18601	236207
219	18676	236001
220	18748	235756
221	18826	235588
222	18909	235478
223	18986	235298
224	19062	235100
225	19136	234889
226	19210	234672
227	19293	234571
228	19367	234357
229	19435	234068
230	19507	233837
231	19585	233674
232	19658	233459
233	19738	233324
234	19810	233094
235	19901	233078
236	19981	232953
237	20059	232792
238	20132	232574
239	20219	232527
240	20298	232380
241	20375	232208
242	20456	232088
243	20536	231962
244	20610	231765
245	20692	231660
246	20774	231551
247	20851	231389
248	20930	231247
249	21007	231084
250	21083	230908
251	21154	230685
252	21275	231007
253	21371	231043
254	21442	230819
255	21514	230604
256	21590	230435
257	21660	230202
258	21731	229989
259	21801	229751
260	21873	229541
261	21952	229414
262	22025	229213
263	22104	229080
264	22176	228879
265	22247	228659
266	22317	228437
267	22384	228190
268	22466	228093
